,poste,Location,date publication,delai,genre,lien_publication,Entreprise
26,Cadre administratif , Benguerir (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-cadre-administratif-recrutement-universite-mohammed-vi-polytechnique-benguerir-151284.html, universite mohammed vi polytechnique benguerir 
27,Agent/e/s de lingerie responsable , Benguerir (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-agentes-de-lingerie-responsable-recrutement-universite-mohammed-vi-polytechnique-benguerir-151285.html, universite mohammed vi polytechnique benguerir 
28,Ingénieur en Procédés Energétiques , Benguerir (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-ingenieur-en-procedes-energetiques-recrutement-universite-mohammed-vi-polytechnique-benguerir-151278.html, universite mohammed vi polytechnique benguerir 
29,Conseillers Commerciaux en BtoB , Rabat (Maroc)                                ,2023-06-06,2023-06-08,Autre,https://www.rekrute.com/offre-emploi-conseillers-commerciaux-en-btob-recrutement-webhelp-maroc-rabat-151276.html, webhelp maroc rabat 
30,Contrôleur Financier , Rabat (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-controleur-financier-recrutement-orange-business-rabat-151274.html, orange business rabat 
31,Coordinator - Sales Support , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-coordinator---sales-support-recrutement-air-arabia-casablanca-151269.html, air arabia casablanca 
32,Chargé de Recrutement Senior H/F , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-charge-de-recrutement-senior-hf-recrutement-euro-job-casablanca-151273.html, senior hf 
33,Administrateur Système (H/F) , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-administrateur-systeme-hf-recrutement-lydec-casablanca-151272.html, lydec casablanca 
34,Méthodes CND (Contrôle Non Destructif) F/H , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-methodes-cnd-controle-non-destructif-fh-recrutement-safran-nacelles-casablanca-151271.html, safran nacelles casablanca 
35,Chargé d'affaires outillages F/H , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-charge-daffaires-outillages-fh-recrutement-safran-nacelles-casablanca-151270.html, safran nacelles casablanca 
36,Conseillers Commerciaux à Salé avec Prime Déplafonnée , Salé (Maroc)                                ,2023-06-06,2023-06-08,Autre,https://www.rekrute.com/offre-emploi-conseillers-commerciaux-a-sale-avec-prime-deplafonnee-recrutement-webhelp-maroc-sale-151268.html, webhelp maroc sale 
37,Gestionnaire E-commerce , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-gestionnaire-e-commerce-recrutement-tersea-casablanca-151267.html, tersea casablanca 
